3.35 --> 2.89
before event loop 0x293e460
5524
UP: 4776.41	DOWN: 4774.59
UP: 4776.12	DOWN: 4776.41
UP: 4774.99	DOWN: 4776.12
UP: 4774.75	DOWN: 4774.99
UP: 4776.46	DOWN: 4774.75
UP: 4776.23	DOWN: 4776.46
UP: 4775.15	DOWN: 4776.23
UP: 4775.41	DOWN: 4775.15
UP: 4775.72	DOWN: 4775.41
UP: 4766.96	DOWN: 4775.72
UP: 4779.83	DOWN: 4766.96
UP: 4775.84	DOWN: 4779.83
UP: 4775.21	DOWN: 4775.84
UP: 4775.14	DOWN: 4775.21
UP: 4775.76	DOWN: 4775.14
UP: 4775.97	DOWN: 4775.76
UP: 4774.99	DOWN: 4775.97
UP: 4772.91	DOWN: 4774.99
UP: 4778.16	DOWN: 4772.91
UP: 4775.98	DOWN: 4778.16
UP: 4774.82	DOWN: 4775.98
UP: 4791.45	DOWN: 4774.82
UP: 4744.95	DOWN: 4791.45
UP: 4795.4	DOWN: 4744.95
UP: 4762.18	DOWN: 4795.4
---- 4775.6 + 36.6078 - 47.2003
