3.19 --> 2.74
before event loop 0xfe5460
5503
UP: 4743.91	DOWN: 4741.35
UP: 4743.14	DOWN: 4743.91
UP: 4742.31	DOWN: 4743.14
UP: 4741.64	DOWN: 4742.31
UP: 4743.92	DOWN: 4741.64
UP: 4743.78	DOWN: 4743.92
UP: 4742.04	DOWN: 4743.78
UP: 4742.51	DOWN: 4742.04
UP: 4742.92	DOWN: 4742.51
UP: 4730.39	DOWN: 4742.92
UP: 4749.86	DOWN: 4730.39
UP: 4743.75	DOWN: 4749.86
UP: 4741.68	DOWN: 4743.75
UP: 4741.58	DOWN: 4741.68
UP: 4743.58	DOWN: 4741.58
UP: 4743.22	DOWN: 4743.58
UP: 4742.09	DOWN: 4743.22
UP: 4740.13	DOWN: 4742.09
UP: 4745.26	DOWN: 4740.13
UP: 4743.22	DOWN: 4745.26
UP: 4741.83	DOWN: 4743.22
UP: 4759.79	DOWN: 4741.83
UP: 4709.7	DOWN: 4759.79
UP: 4763.98	DOWN: 4709.7
UP: 4728.31	DOWN: 4763.98
---- 4742.76 + 40.0343 - 52.2189
