3.62 --> 3.14
before event loop 0x276d460
6174
UP: 5355.53	DOWN: 5352.22
UP: 5354.3	DOWN: 5355.53
UP: 5353.74	DOWN: 5354.3
UP: 5352.63	DOWN: 5353.74
UP: 5355.51	DOWN: 5352.63
UP: 5355.47	DOWN: 5355.51
UP: 5353.04	DOWN: 5355.47
UP: 5353.74	DOWN: 5353.04
UP: 5354.25	DOWN: 5353.74
UP: 5338	DOWN: 5354.25
UP: 5363.93	DOWN: 5338
UP: 5355.77	DOWN: 5363.93
UP: 5352.26	DOWN: 5355.77
UP: 5352.15	DOWN: 5352.26
UP: 5355.51	DOWN: 5352.15
UP: 5354.58	DOWN: 5355.51
UP: 5353.3	DOWN: 5354.58
UP: 5351.45	DOWN: 5353.3
UP: 5356.5	DOWN: 5351.45
UP: 5354.59	DOWN: 5356.5
UP: 5352.94	DOWN: 5354.59
UP: 5372.36	DOWN: 5352.94
UP: 5318.64	DOWN: 5372.36
UP: 5376.83	DOWN: 5318.64
UP: 5338.53	DOWN: 5376.83
---- 5354.05 + 43.9768 - 57.446
