4.21 --> 3.72
before event loop 0x1ee0460
7178
UP: 6349.69	DOWN: 6347.28
UP: 6349.1	DOWN: 6349.69
UP: 6348.04	DOWN: 6349.1
UP: 6347.51	DOWN: 6348.04
UP: 6349.75	DOWN: 6347.51
UP: 6349.56	DOWN: 6349.75
UP: 6347.95	DOWN: 6349.56
UP: 6348.37	DOWN: 6347.95
UP: 6348.77	DOWN: 6348.37
UP: 6336.87	DOWN: 6348.77
UP: 6355.02	DOWN: 6336.87
UP: 6349.38	DOWN: 6355.02
UP: 6347.73	DOWN: 6349.38
UP: 6347.66	DOWN: 6347.73
UP: 6349.2	DOWN: 6347.66
UP: 6349.08	DOWN: 6349.2
UP: 6347.91	DOWN: 6349.08
UP: 6345.78	DOWN: 6347.91
UP: 6351.3	DOWN: 6345.78
UP: 6349.08	DOWN: 6351.3
UP: 6347.68	DOWN: 6349.08
UP: 6366.3	DOWN: 6347.68
UP: 6314.25	DOWN: 6366.3
UP: 6370.71	DOWN: 6314.25
UP: 6333.58	DOWN: 6370.71
---- 6348.62 + 41.3076 - 53.7651
